Product_name,Week0,Week1,Week2,Week3,Week4,Week5,Week6,Week7,Week8,Week9,Week10,Week11,Week12,Week13,Week14,Week15,Week16,Week17,Week18,Week19,Week20,Week21,Week22,Week23,Week24,Week25,Week26,Week27,Week28,Week29,Week30,Week31,Week32,Week33,Week34,Week35,Week36,Week37,Week38,Week39,Week40,Week41,Week42,Week43,Week44,Week45,Week46,Week47,Week48,Week49,Week50,Week51,Week52,Week53,Week54,Week55,Week56,Week57,Week58,Week59,Week60,Week61,Week62,Week63,Week64,Week65,Week66,Week67,Week68,Week69,Week70,Week71,Week72,Week73,Week74,Week75,Week76,Week77,Week78,Week79,Week80,Weight_sum
"Realme C2 (Diamond Black, 16 GB)(2 GB RAM)",983,2177,2543,2604,1653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9324.5
"Redmi Note 7 Pro (Neptune Blue, 128 GB)(6 GB RAM)",277,438,816,1247,1242,580,606,684,637,665,385,276,376,417,375,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6743.25
"Redmi Note 7 Pro (Neptune Blue, 64 GB)(6 GB RAM)",249,436,868,1268,1203,578,565,666,653,651,387,272,409,370,380,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6707.15
"Realme 3 Pro (Nitro Blue, 128 GB)(6 GB RAM)",156,305,570,963,943,528,474,1063,975,980,550,307,392,385,420,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6398.6
"Redmi 6 (Rose Gold, 32 GB)(3 GB RAM)",189,361,748,1023,886,439,422,690,691,652,390,379,562,597,561,295,244,251,275,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6283.95
"Redmi Note 7 (Ruby Red, 64 GB)(4 GB RAM)",58,162,274,434,410,228,234,873,899,836,543,763,1174,1156,1129,508,73,66,59,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5541.15
"Honor 9N (Midnight Black, 64 GB)(4 GB RAM)",60,231,322,497,479,247,296,440,388,411,258,241,315,319,313,198,256,259,281,245,233,228,249,230,202,336,394,305,184,324,337,316,214,106,88,91,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3572.55
"Redmi 7A (Matte Blue, 16 GB)(2 GB RAM)",413,808,898,613,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2658.1
"Vivo Z1Pro (Sonic Blue, 128 GB)(6 GB RAM)",225,567,727,702,608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2631.25
"Redmi Y2 (Gold, 32 GB)(3 GB RAM)",41,78,141,287,301,184,167,276,252,261,156,135,191,205,183,182,375,359,338,367,492,475,480,378,16,39,37,27,9,20,23,21,13,7,13,18,7,5,5,0,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2270.6
"Vivo Z1Pro (Sonic Blue, 128 GB)(6 GB RAM)",223,574,706,692,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2235
"Honor 7S (Black, 16 GB)(2 GB RAM)",38,100,139,263,242,110,136,204,210,174,101,144,209,227,189,158,213,208,238,216,168,192,165,163,214,381,349,309,224,397,388,397,366,513,544,464,297,172,256,209,231,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1872.65
"Honor 7S (Blue, 16 GB)(2 GB RAM)",41,93,149,256,228,138,130,151,192,212,124,150,219,210,199,157,216,231,205,205,167,195,172,165,218,322,406,289,229,371,414,392,380,510,490,535,272,166,205,222,240,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1867.65
"Realme C2 (Diamond Black, 16 GB)(2 GB RAM)",963,419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1382
"Redmi 7A (Matte Blue, 16 GB)(2 GB RAM)",399,797,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1348.95
