Product_name,Week0,Week1,Week2,Week3,Week4,Week5,Week6,Week7,Week8,Week9,Week10,Week11,Week12,Week13,Week14,Week15,Week16,Week17,Week18,Week19,Week20,Week21,Week22,Week23,Week24,Week25,Week26,Week27,Week28,Week29,Week30,Week31,Week32,Week33,Week34,Week35,Week36,Week37,Week38,Week39,Week40,Week41,Week42,Week43,Week44,Week45,Week46,Week47,Week48,Week49,Week50,Week51,Week52,Week53,Week54,Week55,Week56,Week57,Week58,Week59,Week60,Week61,Week62,Week63,Week64,Week65,Week66,Week67,Week68,Week69,Week70,Week71,Week72,Week73,Week74,Week75,Week76,Week77,Week78,Week79,Week80,Week81,Weight_sum
"Realme C2 (Diamond Blue, 16 GB)(2 GB RAM)",0,1523,2137,2343,2614,1147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8801.35
"Redmi Note 7 Pro (Neptune Blue, 64 GB)(4 GB RAM)",0,938,1188,1686,2350,1958,872,905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8435.4
"Realme 3 (Radiant Blue, 32 GB)(3 GB RAM)",0,747,909,1287,2042,1807,979,1022,329,315,284,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8048.85
"Realme 3 Pro (Nitro Blue, 64 GB)(4 GB RAM)",0,620,808,1134,1828,1607,1004,1016,546,510,540,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7824.2
"Redmi Note 7S (Sapphire Blue, 32 GB)(3 GB RAM)",0,686,701,1320,1880,1494,784,737,616,590,657,358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7731.8
"Vivo Z1Pro (Sonic Black, 64 GB)(4 GB RAM)",0,1065,1318,1799,1884,1171,186,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6768.6
"Redmi 6 (Black, 64 GB)(3 GB RAM)",0,343,336,693,1043,816,427,415,705,659,705,374,409,508,543,512,286,283,288,272,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5807.6
"Redmi Note 7 (Onyx Black, 64 GB)(4 GB RAM)",0,110,152,237,407,333,206,212,772,818,765,470,852,1083,1139,1164,527,171,182,171,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4814.65
"Realme 3i (Diamond Red, 32 GB)(3 GB RAM)",0,1114,1228,1698,1180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4811.8
"Redmi Go (Blue, 16 GB)(1 GB RAM)",0,170,269,392,612,527,298,302,473,452,451,271,358,508,483,477,394,561,592,549,575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4176.85
"Realme C1 (Mirror Black, 32 GB)(2 GB RAM)",0,106,148,248,474,436,289,258,594,580,608,341,354,474,527,490,455,764,772,782,755,101,107,133,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4036.5
"Redmi Note 7S (Onyx Black, 64 GB)(4 GB RAM)",0,451,481,841,1070,742,231,297,3,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3554.9
"Asus Zenfone Max Pro M1 (Grey, 32 GB)(3 GB RAM)",0,153,164,288,445,360,230,233,462,465,429,252,309,406,436,440,330,574,545,545,535,589,525,612,520,21,31,32,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3457.45
"Vivo Z1Pro (Sonic Black, 64 GB)(6 GB RAM)",0,401,543,764,795,480,74,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2783.4
"XOLO Era 4x (Black, 16 GB)(2 GB RAM)",0,401,543,764,795,480,74,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2783.4
"Asus ZenFone Max M2 (Black, 32 GB)(3 GB RAM)",0,131,141,189,247,207,126,115,254,260,270,161,281,346,321,349,247,355,347,362,406,278,321,284,266,230,340,354,316,234,309,288,342,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2258.9
"Redmi 7A (Matte Blue, 32 GB)(2 GB RAM)",0,585,760,972,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2237.9
"Honor 9N (Sapphire Blue, 32 GB)(3 GB RAM)",0,38,73,111,188,187,118,106,221,213,236,143,163,248,260,272,220,372,342,366,372,539,521,546,444,575,1097,1063,884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1733.15
"Realme X (Polar White, 128 GB)(8 GB RAM)",0,330,459,569,455,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1667.3
"Redmi Note 5 Pro (Gold, 64 GB)(6 GB RAM)",0,70,74,139,200,167,126,90,188,176,196,99,118,169,160,174,155,293,281,258,286,576,512,516,458,236,397,432,418,89,207,208,187,214,426,367,356,192,151,166,195,180,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1520.1
"Realme C2 (Diamond Black, 32 GB)(3 GB RAM)",0,89,130,222,282,260,148,128,182,164,195,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1442.55
"Realme 2 (Diamond Black, 32 GB)(3 GB RAM)",0,32,70,85,151,121,86,73,163,195,189,104,135,213,217,206,210,404,399,357,353,617,672,635,570,401,753,672,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1424.85
"Redmi Note 7 Pro (Neptune Blue, 64 GB)(6 GB RAM)",0,394,460,505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1285.5
"OPPO K1 (Piano Black, 64 GB)(4 GB RAM)",0,79,66,109,232,158,83,77,163,155,158,104,43,77,86,84,74,136,121,127,127,323,361,338,239,36,80,80,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1205.75
"Redmi Note 6 Pro (Blue, 64 GB)(6 GB RAM)",0,50,52,92,133,126,64,93,183,152,156,93,87,133,142,110,89,149,155,171,176,339,343,313,296,337,580,561,523,223,397,455,386,346,537,542,557,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1127.85
"Vivo Y81 (Black, 32 GB)(3 GB RAM)",0,29,32,74,142,114,84,72,181,173,155,91,104,136,132,157,107,133,108,120,117,22,20,16,18,17,26,28,20,19,37,32,33,32,33,35,27,17,39,40,50,35,16,23,16,12,24,17,15,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1085.4
"Redmi 6A (Black, 32 GB)(2 GB RAM)",0,40,42,93,165,135,97,83,125,120,119,64,83,95,83,90,67,80,63,88,85,77,99,94,71,55,91,88,75,24,31,45,57,35,14,14,12,5,4,4,6,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,980.05
"Honor 8C (Blue, 32 GB)(4 GB RAM)",0,152,188,281,178,86,23,23,0,0,3,0,1,0,0,0,1,1,1,1,0,0,0,2,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,839.75
"Samsung Galaxy J6 (Blue, 64 GB)(4 GB RAM)",0,51,71,81,116,114,29,69,153,153,138,97,5,11,13,9,2,2,3,5,9,6,5,10,11,10,12,9,15,9,15,14,8,11,18,17,14,5,23,26,30,23,14,13,20,16,18,17,18,20,13,8,8,17,11,10,36,26,41,10,29,24,26,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,783.05
"Vivo V15 (Aqua Blue, 64 GB)(6 GB RAM)",0,45,40,82,138,118,73,73,83,88,86,50,32,42,40,39,23,17,6,14,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,722.5
"Realme C1 (Mirror Black, 32 GB)(3 GB RAM)",0,21,37,47,61,73,46,29,108,129,133,79,67,89,85,100,72,74,98,89,77,208,213,208,217,55,92,70,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,709.5
"Infinix Smart 2 (Bordeaux Red, 16 GB)(2 GB RAM)",0,38,63,87,129,88,67,54,55,77,80,27,37,64,60,53,42,65,75,69,56,91,75,85,70,86,155,133,121,70,136,147,143,134,227,242,240,142,329,480,436,437,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,707.3
"OPPO F11 (Marble Green, 128 GB)(4 GB RAM)",0,37,31,79,125,113,79,64,82,93,71,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,614.4
"Samsung Galaxy A20 (Deep Blue, 32 GB)(3 GB RAM)",0,19,32,53,88,71,33,55,93,82,86,51,27,40,51,55,21,2,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,543.15
"Samsung Galaxy A30 (Blue, 64 GB)(4 GB RAM)",0,36,29,54,82,64,41,45,53,63,47,30,52,40,44,54,31,47,26,29,35,10,6,16,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,505.1
"OPPO A3s (Purple, 64 GB)(4 GB RAM)",0,29,33,71,110,77,53,52,64,87,61,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,497.35
"Samsung Galaxy A10 (Blue, 32 GB)(2 GB RAM)",0,29,29,44,71,63,35,43,56,60,52,27,17,34,23,27,19,7,8,14,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,424.55
"Vivo Y95 (Nebula Purple, 64 GB)(4 GB RAM)",0,3,14,17,42,45,16,19,68,52,54,29,40,51,50,57,33,43,38,39,45,28,29,29,18,23,49,38,37,13,30,38,31,25,25,34,24,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,349.9
"Redmi Y2 (Black, 64 GB)(4 GB RAM)",0,45,28,46,62,48,19,20,21,22,27,20,13,27,22,29,27,31,30,31,30,66,65,70,51,7,8,11,13,6,15,14,19,14,20,11,18,12,16,25,28,31,12,15,11,12,16,2,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339.15
"Vivo Y17 (Mineral Blue, 128 GB)(4 GB RAM)",0,14,25,52,73,57,38,43,36,38,39,24,5,3,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338.05
"Samsung Galaxy On Nxt (Black, 64 GB)(3 GB RAM)",0,11,24,37,56,45,24,18,35,36,27,22,31,29,33,32,31,39,35,47,46,36,60,53,43,49,101,90,90,52,124,105,105,104,172,166,176,118,285,417,393,430,107,148,143,137,140,186,215,194,108,76,112,98,142,166,415,387,415,131,429,495,478,430,136,248,217,232,152,0,0,0,0,0,0,0,0,0,0,0,0,0,326
"OPPO F9 (Mist Black, 64 GB)(4 GB RAM)",0,11,5,16,38,39,21,10,38,50,49,30,25,40,51,47,47,81,86,80,54,86,95,88,80,264,439,473,389,32,51,60,59,59,37,48,44,30,156,223,283,243,57,42,57,45,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,323.8
"Redmi Note 5 (Gold, 64 GB)(4 GB RAM)",0,16,29,39,46,43,26,12,35,41,33,14,26,34,28,30,24,36,29,30,35,37,41,35,30,26,65,58,47,54,66,70,70,65,136,140,137,76,211,323,320,300,166,303,289,304,289,560,535,534,294,206,296,296,327,307,754,653,717,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318.95
"Vivo Y15 (Burgundy Red, 64 GB)(4 GB RAM)",0,33,32,52,75,65,33,40,10,8,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293.1
"Vivo Y91i (Ocean Blue, 32 GB)(2 GB RAM)",0,17,21,33,47,44,23,27,30,32,29,14,17,19,23,22,11,22,18,17,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282.25
"Vivo Y93 (Nebula Purple, 64 GB)(3 GB RAM)",0,9,7,22,36,36,25,21,19,28,35,11,26,36,30,33,20,28,28,23,13,12,12,8,15,10,14,17,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246.45
"Vivo Y91 (Starry Black, 32 GB)(3 GB RAM)",0,21,29,47,69,36,20,31,6,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225.7
"Realme U1 (Ambitious Black, 32 GB)(3 GB RAM)",0,20,31,20,36,27,14,11,26,20,27,19,11,18,13,11,14,9,13,11,11,15,13,11,14,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220
"Redmi 6 Pro (Black, 32 GB)(3 GB RAM)",0,6,12,18,25,18,7,7,34,30,25,13,33,35,35,28,20,20,23,20,13,8,16,6,12,6,7,6,3,0,3,6,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204.35
"OPPO A3s (Red, 16 GB)(2 GB RAM)",0,26,9,13,34,19,11,16,29,33,23,18,12,8,15,19,14,9,15,20,13,30,18,16,16,24,34,31,25,19,24,30,24,26,22,20,34,6,11,20,21,10,6,17,19,16,17,12,17,17,13,8,8,9,12,4,4,6,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199.85
"Redmi Y3 (Prime Black, 32 GB)(3 GB RAM)",0,31,41,47,41,21,11,7,6,7,7,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191.6
"Apple iPhone 6s (Space Grey, 32 GB)",0,12,17,19,32,18,24,12,19,14,17,7,11,28,23,14,10,20,31,26,30,25,26,17,21,23,40,60,50,44,82,71,79,46,72,85,96,40,224,349,292,307,66,69,61,61,58,24,15,22,17,6,8,11,6,8,17,18,19,5,13,18,15,12,11,21,18,27,16,25,27,24,6,27,33,26,20,11,24,17,19,0,190.5
"Honor 8X (Blue, 64 GB)(6 GB RAM)",0,14,15,15,9,17,8,11,29,43,28,14,6,8,12,11,3,12,4,7,7,8,4,7,5,5,3,15,10,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161.95
"OPPO A3s (Purple, 32 GB)(3 GB RAM)",0,7,7,14,18,21,11,10,19,23,18,8,12,12,20,25,13,14,14,20,23,33,20,18,22,22,29,28,14,6,24,25,19,22,13,17,16,13,15,14,24,11,10,10,9,9,8,12,17,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149.65
"Redmi 7 (Eclipse Black, 32 GB)(2 GB RAM)",0,16,23,20,36,22,15,17,5,3,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137.1
"Apple iPhone XR (Black, 64 GB)",0,8,7,11,19,21,9,4,21,22,16,13,6,9,9,11,10,2,4,4,2,2,6,3,5,2,2,2,1,1,1,0,4,0,3,3,1,3,2,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.95
"Redmi 7 (Lunar Red, 32 GB)(3 GB RAM)",0,15,15,18,28,26,10,13,5,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.05
"Honor 8x (Black, 64 GB)(4 GB RAM)",0,22,17,19,23,19,4,11,4,2,1,0,7,3,3,6,3,5,8,2,3,6,2,6,5,6,8,12,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.55
"OPPO A5 (Diamond Blue, 32 GB)(4 GB RAM)",0,2,6,10,18,11,13,10,13,12,11,5,9,7,6,8,6,13,9,15,14,2,2,4,5,9,5,14,5,5,3,10,4,7,7,5,11,5,11,17,12,7,3,9,4,5,5,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.75
