Product_name,Week1,Week2,Week3,Week4,Week5,Weight_sum
"Alcatel 3V (Spectrum Black, 32 GB)(3 GB RAM)",4,4,3,8,4,20.5
"Alcatel 3V (Spectrum Gold, 32 GB)(3 GB RAM)",1,4,3,8,8,20.7
"Apple iPhone 5C (Pink, 8 GB)",0,0,0,0,0,0
"Apple iPhone 6s (Space Grey, 32 GB)",2,17,15,13,13,53.1
"Apple iPhone 6s Plus (Silver, 32 GB)",1,5,3,4,4,15.05
"Apple iPhone 7 (Silver, 128 GB)",1,7,4,4,5,18.65
"Apple iPhone 7 Plus (Jet Black, 128 GB)",1,1,0,1,0,2.8
"Apple iPhone 7 Plus (Silver, 256 GB)",0,1,0,1,0,1.8
"Apple iPhone 8 (PRODUCT)RED (Red, 64 GB)",0,0,0,0,0,0
"Apple iPhone 8 (Space Grey, 64 GB)",0,0,0,0,0,0
"Apple iPhone 8 Plus (Gold, 256 GB)",0,3,1,1,5,8.6
"Apple iPhone SE (Gold, 128 GB)(2 GB RAM)",0,0,0,0,0,0
"Apple iPhone SE (Silver, 128 GB)",0,7,6,5,10,24.3
"Apple iPhone SE (Space Grey, 32 GB)",6,7,5,6,6,27.05
"Apple iPhone X (Silver, 64 GB)",4,15,8,14,11,46.15
"Apple iPhone XS (Space Grey, 256 GB)",0,0,0,0,0,0
"Asus Zenfone 3 Deluxe (Silver, 64 GB)(6 GB RAM)",0,0,0,0,0,0
"Asus Zenfone 3 Laser (Silver, 32 GB)(4 GB RAM)",1,2,0,0,0,2.9
"Asus Zenfone 4 (Blue, 8 GB)(1 GB RAM)",0,0,0,0,0,0
"Asus Zenfone 4 (Red, 8 GB)(1 GB RAM)",0,0,0,0,0,0
"Asus Zenfone 4 Selfie (Black, 32 GB)(3 GB RAM)",0,0,2,0,1,2.6
"Asus Zenfone 4 Selfie Pro (Gold, 64 GB)(4 GB RAM)",0,0,0,0,0,0
"Asus Zenfone 5 (Black, 8 GB)(2 GB RAM)",0,0,0,1,0,0.85
"Asus Zenfone 5 (Red, 8 GB)(2 GB RAM)",2,0,0,1,0,2.85
"Asus Zenfone Go (3rd Gen) (Gold, 16 GB)(2 GB RAM)",0,0,0,0,0,0
"Asus Zenfone Go 5.5 (Gold, 32 GB)(2 GB RAM)",0,0,0,0,0,0
"Asus ZenFone Lite L1 (Black, 16 GB)(2 GB RAM)",61,78,79,99,48,328.75
"Asus ZenFone Lite L1 (Gold, 16 GB)(2 GB RAM)",4,81,80,99,120,333.1
"Asus Zenfone Max (Blue, 32 GB)(2 GB RAM)",1,6,2,2,2,11.8
"Asus Zenfone Max Pro M1 (Black, 64 GB)(4 GB RAM)",363,422,390,447,489,1886.05
"Asus Zenfone Max Pro M1 (Grey, 32 GB)(3 GB RAM)",209,230,173,183,235,926.75
"BLU Studio G HD (Grey, 8 GB)(1 GB RAM)",0,0,0,0,0,0
"BLU Studio One (Black, 16 GB)(2 GB RAM)",0,0,0,0,0,0
"BSNL DM6513 (White, 2 GB)",0,0,0,0,0,0
"Coolpad Cool C1 C103 (Gold, 64 GB)(4 GB RAM)",0,0,0,0,0,0
"Coolpad Mega 5M (Dark Blue, 16 GB)(1 GB RAM)",0,0,0,0,0,0
"Coolpad Note 8 (Mirror Black, 64 GB)(4 GB RAM)",0,0,0,0,0,0
"Energy Sistem Neo 4G (Black, 8 GB)(1 GB RAM)",0,0,0,0,0,0
Forme W350 (White),0,0,0,0,0,0
"Ginger Mercury (Grey, 16 GB)(2 GB RAM)",0,0,0,0,0,0
"Gionee A1 Plus (Gold, 64 GB)(4 GB RAM)",0,2,1,4,3,8.6
"Gionee F205 (Black and Gold, 16 GB)(2 GB RAM)",0,0,0,0,0,0
"Gionee M7 Power (Gold, 64 GB)(4 GB RAM)",2,1,2,0,1,5.55
"Gome C7 (Gold, 16 GB)(2 GB RAM)",0,0,0,0,0,0
"Good One Sky (Gold, 4 GB)(512 MB RAM)",0,0,0,0,0,0
"Google Pixel (Very Silver, 128 GB)(4 GB RAM)",0,0,0,0,0,0
"Google Pixel 2 (Kinda Blue, 64 GB)(4 GB RAM)",0,0,2,0,0,1.8
"Google Pixel 2 XL (Just Black, 128 GB)(4 GB RAM)",0,2,2,0,2,5.3
"Google Pixel 3 (Clearly White, 64 GB)(4 GB RAM)",0,3,0,0,2,4.45
"Google Pixel 3 XL (Clearly White, 64 GB)(4 GB RAM)",1,1,0,1,1,3.6
"Google Pixel 3 XL (Not Pink, 128 GB)(4 GB RAM)",1,1,0,1,0,2.8
"Google Pixel 3a XL (Just Black, 64 GB)(4 GB RAM)",2,1,5,2,2,10.75
"Google Pixel XL (Quite Black, 32 GB)(4 GB RAM)",0,0,0,0,0,0
"Honor 10 Lite (Midnight Black, 64 GB)(4 GB RAM)",8,58,42,57,68,203.75
"Honor 10 Lite (Sapphire Blue, 32 GB)(3 GB RAM)",50,66,50,39,43,225.25
"Honor 10 Lite (Sapphire Blue, 64 GB)(4 GB RAM)",58,59,39,57,26,218.4
"Honor 10 Lite (Sky Blue, 64 GB)(6 GB RAM)",11,3,3,2,3,20.65
"Honor 20i (Midnight Black, 128 GB)(4 GB RAM)",12,88,45,40,53,212.5
"Honor 4C (Black, 8 GB)(2 GB RAM)",0,0,0,0,0,0
"Honor 4X (White, 8 GB)(2 GB RAM)",0,0,0,0,0,0
"Honor 5C (Gold, 16 GB)(2 GB RAM)",0,0,2,0,0,1.8
"Honor 5X (Silver, 16 GB)(2 GB RAM)",0,0,0,2,0,1.7
"Honor 6 Plus (Black, 32 GB)(3 GB RAM)",0,0,0,0,0,0
"Honor 7A (Blue, 32 GB)(3 GB RAM)",44,63,45,58,78,256.05
"Honor 7S (Black, 16 GB)(2 GB RAM)",84,93,82,107,37,366.7
"Honor 7S (Blue, 16 GB)(2 GB RAM)",14,95,80,108,112,357.65
"Honor 8C (Black, 32 GB)(4 GB RAM)",59,211,190,272,156,786.45
"Honor 8C (Blue, 32 GB)(4 GB RAM)",216,204,197,266,28,835.6
"Honor 8x (Black, 64 GB)(4 GB RAM)",0,0,0,0,0,0
"Honor 8X (Blue, 128 GB)(6 GB RAM)",0,15,15,6,3,35.25
"Honor 9 Lite (Glacier Grey, 32 GB)(3 GB RAM)",111,105,112,123,67,469.7
"Honor 9 Lite (Sapphire Blue, 64 GB)(4 GB RAM)",4,32,20,22,26,91.9
"Honor 9i (Aurora Blue, 64 GB)(4 GB RAM)",5,76,65,67,80,256.65
"Honor 9i (Graphite Black, 64 GB)(4 GB RAM)",0,0,0,0,0,0
"Honor Holly 2 Plus (White, 16 GB)(2 GB RAM)",0,1,1,0,0,1.85
"Honor Play (Navy Blue, 64 GB)(6 GB RAM)",0,0,0,0,0,0
"HTC Wildfire X (Blue MB, 32 GB)(3 GB RAM)",0,0,0,0,0,0
"Huawei Nova 3i (Black, 128 GB)(4 GB RAM)",0,0,0,0,0,0
"Icubex I900 (Gold, 4 GB)(512 MB RAM)",0,0,0,0,0,0
"Infinix Hot 7 (Midnight Black, 64 GB)(4 GB RAM)",257,292,237,296,239,1190.5
"Infinix Hot S3 (Sandstone Black, 32 GB)(3 GB RAM)",0,4,8,5,2,16.85
"Infinix Note 5 Stylus (Charcoal Blue, 64 GB)(4 GB RAM)",0,5,0,0,1,5.55
"Infinix Smart 2 (Bordeaux Red, 16 GB)(2 GB RAM)",59,62,60,60,27,244.5
"Infinix Smart 3 Plus (Mocha Brown, 32 GB)(2 GB RAM)",161,177,166,187,196,794.3
"Infinix Zero 5 Pro (Bronze Gold Black, 128 GB)(6 GB RAM)",0,0,0,0,0,0
"InFocus Vision 3 Pro (Midnight Black, 64 GB)(4 GB RAM)",0,0,0,0,0,0
"IQ Picasso (White, 32 GB)(3 GB RAM)",0,0,0,0,0,0
"Itel A23 (Gradation Ice Blue, 8 GB)(1 GB RAM)",0,0,0,0,0,0
"Itel A44 Air (Slate Grey, 8 GB)(1 GB RAM)",0,0,0,0,0,0
"Itel A44 Power (Aqua Blue, 8 GB)(1 GB RAM)",0,0,0,0,0,0
"Itel A44 Pro (Black, 16 GB)(2 GB RAM)",0,0,0,0,0,0
"Itel A46 (fiery Red, 16 GB)(2 GB RAM)",0,0,0,0,0,0
"Itel A62 (Bordeaux Red, 16 GB)(2 GB RAM)",0,0,0,0,0,0
"Itel A62 (Rose Gold, 16 GB)(2 GB RAM)",0,0,0,0,0,0
"Karbonn A52 plus (White and Silver, 4 GB)(512 MB RAM)",0,0,0,0,0,0
