Product_name,Week30,Week31,Week32,Week33,Weight_sum
Samsung Galaxy M20,2963.0,1730.0,262.0,268.0,5223.0
Redmi 7,691.0,677.0,305.0,571.0,2244.0
Samsung Galaxy M30,788.0,750.0,291.0,358.0,2187.0
Xiaomi Mi A2,796.0,720.0,195.0,278.0,1989.0
Samsung Galaxy M40,560.0,557.0,352.0,377.0,1846.0
Redmi Y3,474.0,432.0,203.0,537.0,1646.0
OnePlus 7 Pro,480.0,471.0,231.0,369.0,1551.0
OnePlus 7,404.0,376.0,313.0,373.0,1466.0
Samsung Galaxy M10,429.0,300.0,157.0,409.0,1295.0
Redmi 6 Pro,463.0,380.0,139.0,157.0,1139.0
Mi Redmi 6A,405.0,441.0,128.0,138.0,1112.0
Realme U1,314.0,282.0,115.0,243.0,954.0
Redmi 6,287.0,261.0,129.0,267.0,944.0
Vivo V15,234.0,207.0,93.0,245.0,779.0
Redmi Note 5 Pro,228.0,191.0,88.0,172.0,679.0
OPPO F11 Pro,188.0,157.0,84.0,186.0,615.0
Redmi Y2,178.0,178.0,61.0,98.0,515.0
OPPO K3,49.0,202.0,125.0,124.0,500.0
Honor 9N,132.0,131.0,59.0,136.0,458.0
OPPO F11,130.0,128.0,44.0,135.0,437.0
Honor 8X,143.0,135.0,51.0,70.0,399.0
Nokia 6.1 Plus,73.0,82.0,68.0,155.0,378.0
Samsung Galaxy A50,110.0,99.0,47.0,84.0,340.0
Honor 8C,102.0,89.0,41.0,95.0,327.0
Vivo Y17,87.0,80.0,34.0,56.0,257.0
LG W30,62.0,62.0,33.0,74.0,231.0
Realme 3 Pro,32.0,47.0,46.0,97.0,222.0
Realme 3,46.0,53.0,46.0,38.0,183.0
Vivo Y15,40.0,58.0,14.0,64.0,176.0
OPPO A7,34.0,49.0,24.0,56.0,163.0
Coolpad Cool 3 Plus,28.0,46.0,33.0,52.0,159.0
OPPO A5S,31.0,47.0,13.0,43.0,134.0
Nokia 1,35.0,48.0,24.0,19.0,126.0
Vivo Y91i,42.0,31.0,8.0,30.0,111.0
Huawei Y9 Prime 2019,0.0,0.0,0.0,99.0,99.0
Mi Redmi Note 7S,14.0,38.0,18.0,22.0,92.0
Vivo Y91,18.0,30.0,9.0,32.0,89.0
Apple iPhone X,36.0,25.0,5.0,20.0,86.0
Vivo V15 Pro,25.0,18.0,14.0,25.0,82.0
Vivo Y12,15.0,20.0,11.0,21.0,67.0
Motorola G7 Power,14.0,17.0,10.0,2.0,43.0
Redmi Mi Note 6 Pro,3.0,0.0,0.0,11.0,14.0
