,Unnamed: 0,Title,Point,Date,Feature,Name,Vendor,Date_new,Week,Month,Year
0,18,"Wrost product
",1.0,25 July 2019,Colour: BlueStyle: 128GB,Huawei Honor 9N,Huawei,2019-07-25,29,07,19
1,26,"Waste of money
",1.0,22 July 2019,Colour: BlackStyle: 128GB,Huawei Honor 9N,Huawei,2019-07-22,29,07,19
2,34,"Hybrid alot
",1.0,21 July 2019,Colour: BlueStyle: 64GB,Huawei Honor 9N,Huawei,2019-07-21,29,07,19
3,35,"Mobile's mother board was already worst
",1.0,22 July 2019,Colour: BlackStyle: 64GB,Huawei Honor 9N,Huawei,2019-07-22,29,07,19
4,59,"Not good
",1.0,23 July 2019,Colour: BlackStyle: 64GB,Huawei Honor 9N,Huawei,2019-07-23,29,07,19
5,75,"Damage mobile
",1.0,22 July 2019,Colour: BlueStyle: 128GB,Huawei Honor 9N,Huawei,2019-07-22,29,07,19
6,78,"Very dissapointed
",1.0,26 July 2019,Colour: BlueStyle: 64GB,Huawei Honor 9N,Huawei,2019-07-26,29,07,19
7,83,"Worst
",1.0,26 July 2019,Colour: BlueStyle: 64GB,Huawei Honor 9N,Huawei,2019-07-26,29,07,19
8,89,"Don't buy
",1.0,22 July 2019,Colour: BlueStyle: 64GB,Huawei Honor 9N,Huawei,2019-07-22,29,07,19
9,109,"Just ok
",2.0,22 July 2019,Colour: BlackStyle: 128GB,Huawei Honor 9N,Huawei,2019-07-22,29,07,19
10,110,"Bad mobile
",2.0,25 July 2019,Colour: BlackStyle: 128GB,Huawei Honor 9N,Huawei,2019-07-25,29,07,19
11,117,"Ok
",2.0,26 July 2019,Colour: BlueStyle: 64GB,Huawei Honor 9N,Huawei,2019-07-26,29,07,19
12,126,"No
",2.0,23 July 2019,Colour: BlueStyle: 64GB,Huawei Honor 9N,Huawei,2019-07-23,29,07,19
13,138,"Average product
",3.0,25 July 2019,Colour: BlueStyle: 64GB,Huawei Honor 9N,Huawei,2019-07-25,29,07,19
14,139,"Camera quality not good....
",3.0,25 July 2019,Colour: BlueStyle: 64GB,Huawei Honor 9N,Huawei,2019-07-25,29,07,19
15,145,"Phone over all good but meger isu this phone battery fast drain and camra is not good
",3.0,24 July 2019,Colour: BlueStyle: 128GB,Huawei Honor 9N,Huawei,2019-07-24,29,07,19
16,156,"Slowly working phone
",3.0,22 July 2019,Colour: BlueStyle: 128GB,Huawei Honor 9N,Huawei,2019-07-22,29,07,19
17,167,"Good product
",3.0,26 July 2019,Colour: BlueStyle: 64GB,Huawei Honor 9N,Huawei,2019-07-26,29,07,19
18,171,"Good
",3.0,23 July 2019,Colour: BlueStyle: 64GB,Huawei Honor 9N,Huawei,2019-07-23,29,07,19
19,173,"Honur
",3.0,22 July 2019,Colour: BlackStyle: 64GB,Huawei Honor 9N,Huawei,2019-07-22,29,07,19
20,177,"Battery capacity is very poor
",3.0,25 July 2019,Colour: BlueStyle: 64GB,Huawei Honor 9N,Huawei,2019-07-25,29,07,19
21,181,"Best mobile
",3.0,22 July 2019,Colour: BlueStyle: 64GB,Huawei Honor 9N,Huawei,2019-07-22,29,07,19
22,188,"Good
",3.0,24 July 2019,Colour: BlueStyle: 64GB,Huawei Honor 9N,Huawei,2019-07-24,29,07,19
23,190,"No comfortable
",3.0,25 July 2019,Colour: BlackStyle: 128GB,Huawei Honor 9N,Huawei,2019-07-25,29,07,19
24,191,"A-ha he
",3.0,24 July 2019,Colour: BlueStyle: 64GB,Huawei Honor 9N,Huawei,2019-07-24,29,07,19
25,196,"Not for phone addict
",3.0,26 July 2019,Colour: BlueStyle: 64GB,Huawei Honor 9N,Huawei,2019-07-26,29,07,19
26,208,"Low quality product
",3.0,27 July 2019,Colour: BlueStyle: 64GB,Huawei Honor 9N,Huawei,2019-07-27,29,07,19
27,209,"Nice
",3.0,27 July 2019,Colour: BlueStyle: 64GB,Huawei Honor 9N,Huawei,2019-07-27,29,07,19
28,223,"A waow phone with waow features
",4.0,21 July 2019,Colour: BlueStyle: 64GB,Huawei Honor 9N,Huawei,2019-07-21,29,07,19
29,225,"Excellent phone except for battery backup
",4.0,21 July 2019,Colour: BlueStyle: 64GB,Huawei Honor 9N,Huawei,2019-07-21,29,07,19
30,231,"Fabulous
",4.0,23 July 2019,Colour: BlueStyle: 64GB,Huawei Honor 9N,Huawei,2019-07-23,29,07,19
31,233,"Good for the price. Battery drains faster
",4.0,26 July 2019,Colour: BlackStyle: 128GB,Huawei Honor 9N,Huawei,2019-07-26,29,07,19
32,235,"Over all it is very good
",4.0,21 July 2019,Colour: BlueStyle: 64GB,Huawei Honor 9N,Huawei,2019-07-21,29,07,19
33,245,"Old product
",4.0,23 July 2019,Colour: BlueStyle: 128GB,Huawei Honor 9N,Huawei,2019-07-23,29,07,19
34,247,"No Headset
",4.0,21 July 2019,Colour: BlueStyle: 64GB,Huawei Honor 9N,Huawei,2019-07-21,29,07,19
35,248,"Too much delivery time
",4.0,21 July 2019,Colour: BlueStyle: 64GB,Huawei Honor 9N,Huawei,2019-07-21,29,07,19
36,250,"Ok
",4.0,25 July 2019,Colour: BlueStyle: 64GB,Huawei Honor 9N,Huawei,2019-07-25,29,07,19
37,258,"Less price more benefits
",4.0,26 July 2019,Colour: BlackStyle: 64GB,Huawei Honor 9N,Huawei,2019-07-26,29,07,19
38,259,"Screen size is alot smaller than expected!!
",4.0,22 July 2019,Colour: BlueStyle: 64GB,Huawei Honor 9N,Huawei,2019-07-22,29,07,19
