,Vendor,Product_name,Date,Week,Year,Point,Vote,Title,Review
810,Xiaomi,Redmi K20 Pro,2019-07-28,30,19,5,0,I've fallen in love!, good  
811,Xiaomi,Redmi K20 Pro,2019-07-28,30,19,5,0,I've fallen in love!," Really the product is awesome and notchless with Amoled display is the best combo to watch HDR content

Absolute gaming beast.  "
812,Xiaomi,Redmi K20 Pro,2019-07-28,30,19,5,0,I've fallen in love!," just amazing was really waiting for a piece like this and finally my first premium phone I love it

simply awesome  "
813,Xiaomi,Redmi K20 Pro,2019-07-28,30,19,5,0,I've fallen in love!, Excellent Device  
814,Xiaomi,Redmi K20 Pro,2019-07-28,30,19,5,0,I've fallen in love!, awesome mobile.....  
815,Xiaomi,Redmi K20 Pro,2019-07-28,30,19,5,0,I've fallen in love!, awesome device.  
816,Xiaomi,Redmi K20 Pro,2019-07-28,30,19,5,0,I've fallen in love!, The Greatest of all...!!! You smashed the market   
817,Xiaomi,Redmi K20 Pro,2019-07-28,30,19,5,0,I've fallen in love!, superb phone  
818,Xiaomi,Redmi K20 Pro,2019-07-28,30,19,5,0,I've fallen in love!, awesome phone  
819,Xiaomi,Redmi K20 Pro,2019-07-28,30,19,5,0,very good phone. super performer., best mobile in market.  
820,Xiaomi,Redmi K20 Pro,2019-07-28,30,19,5,0,I've fallen in love!, good phone  
821,Xiaomi,Redmi K20 Pro,2019-07-28,30,19,5,0,I've fallen in love!, I've fallen in love!This is great phone. Delivers everything it has promised.  
822,Xiaomi,Redmi K20 Pro,2019-07-28,30,19,5,0,I've fallen in love!, Feels smooth and elegant.  
823,Xiaomi,Redmi K20 Pro,2019-07-28,30,19,5,0,I've fallen in love!, Everything loaded tightly with more features and features i'm loving it..  
824,Xiaomi,Redmi K20 Pro,2019-07-28,30,19,5,0,I've fallen in love!, awesome  
825,Xiaomi,Redmi K20 Pro,2019-07-28,30,19,5,0,I've fallen in love!, good  
826,Xiaomi,Redmi K20 Pro,2019-07-28,30,19,5,0,I've fallen in love!, Alrounder. Just unbelievable product  
827,Xiaomi,Redmi K20 Pro,2019-07-28,30,19,5,0,I've fallen in love!, superb phone  
828,Xiaomi,Redmi K20 Pro,2019-07-28,30,19,5,0,I've fallen in love!, nice one  
829,Xiaomi,Redmi K20 Pro,2019-07-28,30,19,5,0,I've fallen in love!, wow.    colour superb.  pop up avesome  
830,Xiaomi,Redmi K20 Pro,2019-07-28,30,19,5,0,I've fallen in love!, A unbelievable machine...... it's best for the price..... i found some bugs but i have reported that and I hope mi team resolve them as soon as possible.......but this device is a beast  
831,Xiaomi,Redmi K20 Pro,2019-07-28,30,19,5,0,Super happy with the purchase!, The best mobile you'll find below 35000. The screen has no match! Also has our beloved headphone jack.  
832,Xiaomi,Redmi K20 Pro,2019-07-28,30,19,5,0,I've fallen in love!," One of the best device i have ever used, 28k is a worthy amount to invest.  "
833,Xiaomi,Redmi K20 Pro,2019-07-28,30,19,5,0,"Best Quality, Good Looks & Really Value For Money."," Best Quality, Good Looks & Really Value For Money.  "
834,Xiaomi,Redmi K20 Pro,2019-07-28,30,19,5,0,I've fallen in love!, I never felt so happy habdling any electronic device. Camera and the screen are the best part. Im not into gaming so didnt get to see the gaming performance. But this device can play 4k videos that even my laptop cant play. Even the look is appealing.  
835,Xiaomi,Redmi K20 Pro,2019-07-28,30,19,5,0,I've fallen in love!super mobile at that price point, I just loved this phone  
836,Xiaomi,Redmi K20 Pro,2019-07-28,30,19,5,0,I've fallen in love!, damn awesome  
837,Xiaomi,Redmi K20 Pro,2019-07-28,30,19,5,0,I've fallen in love!, owsam prodeuct  
838,Xiaomi,Redmi K20 Pro,2019-07-28,30,19,5,0,I've fallen in love! awesome, awesome product!  
839,Xiaomi,Redmi K20 Pro,2019-07-28,30,19,5,1,Its great, The phone is worth every penny  
840,Xiaomi,Redmi K20 Pro,2019-07-28,30,19,5,0,I've fallen in love!, extraordinary  
841,Xiaomi,Redmi K20 Pro,2019-07-27,30,19,5,0,I've fallen in love!, I Love the product.....but y NFC thing's missing....  
842,Xiaomi,Redmi K20 Pro,2019-07-27,30,19,5,0,perfect, Perfect  
843,Xiaomi,Redmi K20 Pro,2019-07-27,30,19,5,0,I've fallen in love!, osm  
844,Xiaomi,Redmi K20 Pro,2019-07-27,30,19,5,0,I've fallen in love!, good one  
845,Xiaomi,Redmi K20 Pro,2019-07-27,30,19,5,0,I've fallen in love!, osm  
846,Xiaomi,Redmi K20 Pro,2019-07-27,30,19,5,0,I've fallen in love!, nice  
847,Xiaomi,Redmi K20 Pro,2019-07-27,30,19,5,0,Amazing phone at honest pricing, Proud to be a Alpha user. This runs like fluid and almost everything packed inside. Thanks Mi India for this greatest phone.  
848,Xiaomi,Redmi K20 Pro,2019-07-27,30,19,5,0,I've fallen in love!, Good  
849,Xiaomi,Redmi K20 Pro,2019-07-27,30,19,5,0,I've fallen in love!, A True Flagship killer   
850,Xiaomi,Redmi K20 Pro,2019-07-27,30,19,5,0,Flagship Killer," Snapdragon 855, Under Screen lock, Pop-up Camera, Gorilla Glass 5, Quick Charge 4.0. All these features came out of one device at this price?
Only Xiaomi can make it possible  "
851,Xiaomi,Redmi K20 Pro,2019-07-27,30,19,5,0,I've fallen in love!, Absolute Beast!!  
852,Xiaomi,Redmi K20 Pro,2019-07-27,30,19,5,0,I've fallen in love!," Excellent mobile... 
good looking and performance  "
853,Xiaomi,Redmi K20 Pro,2019-07-27,30,19,5,1,I've fallen in love!, phone was not like killer 2.0 as redmi announced & compare with all other phone  
854,Xiaomi,Redmi K20 Pro,2019-07-27,30,19,5,0,I've fallen in love!, great phone   
855,Xiaomi,Redmi K20 Pro,2019-07-27,30,19,5,0,I've fallen in love!, thanks  
856,Xiaomi,Redmi K20 Pro,2019-07-27,30,19,5,0,value redefined, It check all the boxes and is the best Redmi yet  
857,Xiaomi,Redmi K20 Pro,2019-07-27,30,19,5,0,I've fallen in love! THE BEST FLAGSHIP UNDER 30K!," phone's nothing short of phenomenal
blazing fast performance
quality focused camera, or should I say cameras
true to it's word, the actual flagship killer 2.0!!!  "
858,Xiaomi,Redmi K20 Pro,2019-07-27,30,19,5,0,I've fallen in love!, i love Mi And Great  experience with Redmi K20 Pro  
859,Xiaomi,Redmi K20 Pro,2019-07-27,30,19,5,0,I've fallen in love!," Best for the price...camera, display,design,pop up camera, battery life are awsm..gives flagship feel at low cost  "
860,Xiaomi,Redmi K20 Pro,2019-07-27,30,19,5,0,I've fallen in love! Good phone., Good phone but still no headphones provided even at this price.  
861,Xiaomi,Redmi K20 Pro,2019-07-27,30,19,5,0,I've fallen in love!, please don't judge this phone by some stupid review's . it's sure that you will get  for what you paid for and this phone will never disappoint you . just go for it...  
862,Xiaomi,Redmi K20 Pro,2019-07-27,30,19,5,0,I've fallen in love!, I've fallen in love! It's so premium to hold! buttery smooth operations! Impressive  RAM management  
863,Xiaomi,Redmi K20 Pro,2019-07-27,30,19,5,0,One hell of a device.," Definitely the best flagship killer there is out there
.  "
864,Xiaomi,Redmi K20 Pro,2019-07-27,30,19,5,0,The value for money," I got it on the very first day, camera and other performances are excellent  "
865,Xiaomi,Redmi K20 Pro,2019-07-27,30,19,5,0,I've fallen in love!, this is a great product thanks Redmi people for providing this amazing beast...  
866,Xiaomi,Redmi K20 Pro,2019-07-27,30,19,5,0,I've fallen in love!, I didn't expect such high quality product in such price. Thums up Xiaomi !!!  
867,Xiaomi,Redmi K20 Pro,2019-07-27,30,19,5,0,I've fallen in love!, best phone ever  
868,Xiaomi,Redmi K20 Pro,2019-07-27,30,19,5,0,I've fallen in love!, Awesome in every Aspect ☺  
869,Xiaomi,Redmi K20 Pro,2019-07-27,30,19,5,0,I've fallen in love! its fantastic," Wow, its very beautiful, its first phone to be in list of things i love ....  its like first love whom u can never get out of your mind...  Camera awesome means just awesome. . its not just camera everything is beautiful..Love you love you....

just 1 wish MI please m  Read more "
870,Xiaomi,Redmi K20 Pro,2019-07-27,30,19,5,0,I've fallen in love!, fabulous  
871,Xiaomi,Redmi K20 Pro,2019-07-27,30,19,5,0,I've fallen in love! unbelievable speed , awesome thanks mi  
872,Xiaomi,Redmi K20 Pro,2019-07-27,30,19,5,0,I've fallen in love!, Phone is amazing  
873,Xiaomi,Redmi K20 Pro,2019-07-27,30,19,5,0,I've fallen in love!, Redmi which I mainly bought for gaming and it's so good. turbo gaming is awesome. camera for picture and video is very nice. it's my first time experiencing this kind of phone and am having a pretty good time using it. I recommend this phone to everyone who is planning   Read more 
874,Xiaomi,Redmi K20 Pro,2019-07-27,30,19,5,0,I've fallen in love!," Perfect phone
Classic Black.  "
875,Xiaomi,Redmi K20 Pro,2019-07-27,30,19,5,0,I've fallen in love!, very good  
876,Xiaomi,Redmi K20 Pro,2019-07-27,30,19,5,0,I bought this for my friend as he has fallen in love! after seeing the one I had purchased earlier, I bought this for my friend as he has fallen in love! after seeing the one I had purchased earlier  
877,Xiaomi,Redmi K20 Pro,2019-07-27,30,19,5,1,I've fallen in love!, good product  
878,Xiaomi,Redmi K20 Pro,2019-07-27,30,19,5,1,I've fallen in love!, I've fallen in love!  
879,Xiaomi,Redmi K20 Pro,2019-07-27,30,19,5,1,Excellent," First of all product packed and delivered very well. Very nice product. it is a real flagship killer. Very compact in hand. Good crystal clear display, No heating issue, No adds, camera functions and picture quality looks good. Video recording quality and slow motion videos are r  Read more "
880,Xiaomi,Redmi K20 Pro,2019-07-27,30,19,5,1,I've fallen in love!, I love u xiAomi...This is The Real- beast.  
881,Xiaomi,Redmi K20 Pro,2019-07-27,30,19,5,1,I've fallen in love!," Very fast, good and everything I need.  "
882,Xiaomi,Redmi K20 Pro,2019-07-27,30,19,5,1,I've fallen in love!, I love mi product  
883,Xiaomi,Redmi K20 Pro,2019-07-27,30,19,5,1,True Flagship," Super Build Quality , Dashing Specs , Super Fast in display Fingerprint Sensor , Good Battery Backup

Enjoying the Phone  "
884,Xiaomi,Redmi K20 Pro,2019-07-26,30,19,5,1,I've fallen in love!, its a beauty  
885,Xiaomi,Redmi K20 Pro,2019-07-26,30,19,5,1,I've fallen in love!, super se upar  
886,Xiaomi,Redmi K20 Pro,2019-07-26,30,19,5,1,I've fallen in love!, premium smartphone!!!  just love the design and color texture  
887,Xiaomi,Redmi K20 Pro,2019-07-26,30,19,5,1,I've fallen in love!, Fast ! Super Fast ! Super Duper Fast  
888,Xiaomi,Redmi K20 Pro,2019-07-26,30,19,5,1,I've fallen in love! absolutely," The phone is a gem. Great performance, smooth and refined. Very apt to use  "
889,Xiaomi,Redmi K20 Pro,2019-07-26,30,19,5,1,Amazing, Wonderful Product  
890,Xiaomi,Redmi K20 Pro,2019-07-26,30,19,5,0,what a phone," Really its an am

azing phone. redmi made amazing work. Super 855 processor super phone super camera super battery back up  "
891,Xiaomi,Redmi K20 Pro,2019-07-26,30,19,5,0,I've fallen in love!, I have fallen in love  
892,Xiaomi,Redmi K20 Pro,2019-07-26,30,19,5,0,build quality 5 star, build quality 5 star rich n premium look  
893,Xiaomi,Redmi K20 Pro,2019-07-26,30,19,5,0,I've fallen in love!, Beast Is Here  
894,Xiaomi,Redmi K20 Pro,2019-07-26,30,19,5,1,I've fallen in love!, nice  
895,Xiaomi,Redmi K20 Pro,2019-07-26,30,19,5,0,Best Redmi phone!, The phone is just stunning.. From looks to performance... Just buy it.  
896,Xiaomi,Redmi K20 Pro,2019-07-26,30,19,5,1,I've fallen in love!," super fast
best quality phone
camera is also very good

only one thing that is missing is IR blaster but most people don't really use it  "
897,Xiaomi,Redmi K20 Pro,2019-07-26,30,19,5,1,best at this price, good phone  
898,Xiaomi,Redmi K20 Pro,2019-07-26,30,19,5,1,I've fallen in love!, nice phone  
899,Xiaomi,Redmi K20 Pro,2019-07-26,30,19,5,1,killer is here, Hell awesomeness  
900,Xiaomi,Redmi K20 Pro,2019-07-26,30,19,5,5,I've fallen in love!," nice camera and elevator front camera 
best design.  "
901,Xiaomi,Redmi K20 Pro,2019-07-26,30,19,5,0,I've fallen in love!, power in your hands   
902,Xiaomi,Redmi K20 Pro,2019-07-26,30,19,5,0,I've fallen in love!," a dream phone which makes my dream come true.. thanks Xiaomi.. i purchased note 3, note 4, note 5 pro.. note 7S, note 7pro n now K20 pro .. mi band hrx, mi band 2, mi band 3, shoes, mi bulb, mi car charger, mi headphones... thanks xioami

this K20 pro is simply amazin  Read more "
903,Xiaomi,Redmi K20 Pro,2019-07-26,30,19,5,1,I've fallen in love!, great superb  
904,Xiaomi,Redmi K20 Pro,2019-07-26,30,19,5,1,I've fallen in love!, good mobile and picture quality  
905,Xiaomi,Redmi K20 Pro,2019-07-26,30,19,5,1,Best, It's best Mobile under 30k..  
906,Xiaomi,Redmi K20 Pro,2019-07-26,30,19,5,1,I've fallen in love!, good  
907,Xiaomi,Redmi K20 Pro,2019-07-26,30,19,5,5,I've fallen in love!, its a beauty. Amoled screen is so amazing I wish it to be around atleast 6.7 inches. i have used Max2 before so i am biased towards large screens but this phone is amazing. A head turner for sure. there is no need to write about performance its awesome. In camera department i wis  Read more 
908,Xiaomi,Redmi K20 Pro,2019-07-26,30,19,5,1,I've fallen in love!, aaha Sach a good mobile.. thanks mi .. love you  
909,Xiaomi,Redmi K20 Pro,2019-07-26,30,19,5,1,I've fallen in love!l, best Phone under 30k  
910,Xiaomi,Redmi K20 Pro,2019-07-26,30,19,5,0,I've fallen in love!, i love this  
911,Xiaomi,Redmi K20 Pro,2019-07-26,30,19,5,0,I've fallen in love!, excellent  
912,Xiaomi,Redmi K20 Pro,2019-07-26,30,19,5,1,I've fallen in love!, Awesome  
913,Xiaomi,Redmi K20 Pro,2019-07-26,30,19,5,1,I've fallen in love!," Excellent mobile with good features, Really I loved it, Thank you for this great product Mi.  "
914,Xiaomi,Redmi K20 Pro,2019-07-26,30,19,5,1,I've fallen in love!, Best Mobile  
915,Xiaomi,Redmi K20 Pro,2019-07-26,30,19,5,0,I've fallen in love!, It is very smooth to use  
916,Xiaomi,Redmi K20 Pro,2019-07-26,30,19,5,0,awesome, i luvv this fone and in the phone the pop up is superbbb  
917,Xiaomi,Redmi K20 Pro,2019-07-26,30,19,5,0,I've fallen in love!, I've fallen in love!  
918,Xiaomi,Redmi K20 Pro,2019-07-26,30,19,5,1,I've fallen in love!, one of the best phone ever  
919,Xiaomi,Redmi K20 Pro,2019-07-26,30,19,5,0,Beast...., it's a Beast...  
920,Xiaomi,Redmi K20 Pro,2019-07-26,30,19,5,1,looking very premium, nice feel in hand. first i was think price too high but after compared with other Brand mi fix descent price...  
921,Xiaomi,Redmi K20 Pro,2019-07-26,30,19,5,1,I've fallen in love!, good  
922,Xiaomi,Redmi K20 Pro,2019-07-26,30,19,5,1,value for the money, superb quality.  
923,Xiaomi,Redmi K20 Pro,2019-07-26,30,19,5,1,I've fallen in love!....... Awesome phn, very nice phn  
924,Xiaomi,Redmi K20 Pro,2019-07-26,30,19,5,1,I've fallen in love!, GooD  
925,Xiaomi,Redmi K20 Pro,2019-07-26,30,19,5,1,I've fallen in love!, nice phone  
926,Xiaomi,Redmi K20 Pro,2019-07-26,30,19,5,1,It looks great.., Nice phone.. I like it..  
927,Xiaomi,Redmi K20 Pro,2019-07-25,30,19,5,1,I've fallen in love!, best  
928,Xiaomi,Redmi K20 Pro,2019-07-25,30,19,5,1,I've fallen in love!, excellent phone. prompt delivery thanks to MI  
929,Xiaomi,Redmi K20 Pro,2019-07-25,30,19,5,1,I've fallen in love!, perfect phone with reasonable price.  
930,Xiaomi,Redmi K20 Pro,2019-07-25,30,19,5,1,I've fallen in love!," grate phone from mi, love it  "
931,Xiaomi,Redmi K20 Pro,2019-07-25,30,19,5,1,I've fallen in love!, best product in lowest price  
932,Xiaomi,Redmi K20 Pro,2019-07-25,30,19,5,1,I've fallen in love!, nice one  
933,Xiaomi,Redmi K20 Pro,2019-07-25,30,19,5,1,I've fallen in love!, A value for money product  
934,Xiaomi,Redmi K20 Pro,2019-07-25,30,19,5,1,I've fallen in love!, excellent  
935,Xiaomi,Redmi K20 Pro,2019-07-25,30,19,5,1,I've fallen in love!, super  
936,Xiaomi,Redmi K20 Pro,2019-07-25,30,19,5,1,I've fallen in love!, best mobile  
937,Xiaomi,Redmi K20 Pro,2019-07-25,30,19,5,1,I've fallen in love!, awesome phone.  
938,Xiaomi,Redmi K20 Pro,2019-07-25,30,19,5,1,I've fallen in love!, camera at it's best and  good performance  
939,Xiaomi,Redmi K20 Pro,2019-07-25,30,19,5,1,I've fallen in love!, good  
940,Xiaomi,Redmi K20 Pro,2019-07-25,30,19,5,1,I've fallen in love!, excellentnphone with awesome touch and display camera  
941,Xiaomi,Redmi K20 Pro,2019-07-25,30,19,5,1,I've fallen in love!, its great  
942,Xiaomi,Redmi K20 Pro,2019-07-25,30,19,5,1,I've fallen in love!," it's a real flagship killed

KO!!!  "
943,Xiaomi,Redmi K20 Pro,2019-07-25,30,19,5,1,I've fallen in love! love, I'm fall in love  
944,Xiaomi,Redmi K20 Pro,2019-07-25,30,19,5,1,I've fallen in love!, Fabolous  
945,Xiaomi,Redmi K20 Pro,2019-07-25,30,19,5,1,I've fallen in love!, The best from the rest  
946,Xiaomi,Redmi K20 Pro,2019-07-25,30,19,5,1,I've fallen in love!, Value for money.  Premium quality.  
947,Xiaomi,Redmi K20 Pro,2019-07-25,30,19,5,0,I've fallen in love!, amazing  
948,Xiaomi,Redmi K20 Pro,2019-07-25,30,19,5,0,I've fallen in love!, Awesomme   
949,Xiaomi,Redmi K20 Pro,2019-07-25,30,19,5,0,I've fallen in love!, awesome  
